,rmse_arr,pear_arr,mielke_arr
0,5.28654746996768,0.5234287531828655,0.47076231318733786
1,4.817463743156019,0.5151600068926245,0.4673016930861372
2,4.544843990433791,0.593137758759199,0.5597977154780576
3,5.035123996769593,0.5911110962828034,0.5601392751238738
4,4.6429337972021365,0.5417498062423652,0.5394973645560688
5,5.080569040712952,0.5543865425905427,0.48423311624625187
6,4.799758864225476,0.589710310166015,0.5170505086874919
7,5.131193681769366,0.5983464974610788,0.5311933322088493
8,5.146792630143525,0.6143535248019288,0.5245866425979059
9,5.318313810998033,0.5925151357773215,0.5063975531202529
10,5.40599111583007,0.38894519583111886,0.321167495732386
11,4.08270022004055,0.5890239972436624,0.47446585286807974
12,0.0,1.0,1.0
